You have loaded an FP4 model on CPU and have a CUDA/XPU device available, make sure to set your model on a GPU/XPU device in order to run your model. To remove this warning, pass device_map = 'cuda' or device_map = 'xpu'. 
Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s]Fetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 13849.28it/s]
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s][AFetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 19508.39it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.29it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.62it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.33it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.01it/s]
2026-07-01 19:24:26,006 sample_targets sampled 2104 / 10000
2026-07-01 19:24:28,946 sample_targets sampled 2112 / 10000
2026-07-01 19:24:31,893 sample_targets sampled 2120 / 10000
2026-07-01 19:24:34,841 sample_targets sampled 2128 / 10000
2026-07-01 19:24:37,793 sample_targets sampled 2136 / 10000
2026-07-01 19:24:40,741 sample_targets sampled 2144 / 10000
2026-07-01 19:24:43,687 sample_targets sampled 2152 / 10000
2026-07-01 19:24:46,632 sample_targets sampled 2160 / 10000
2026-07-01 19:24:49,575 sample_targets sampled 2168 / 10000
2026-07-01 19:24:52,518 sample_targets sampled 2176 / 10000
2026-07-01 19:24:55,613 sample_targets sampled 2184 / 10000
2026-07-01 19:24:58,541 sample_targets sampled 2192 / 10000
2026-07-01 19:25:01,466 sample_targets sampled 2200 / 10000
2026-07-01 19:25:04,393 sample_targets sampled 2208 / 10000
2026-07-01 19:25:07,330 sample_targets sampled 2216 / 10000
2026-07-01 19:25:10,267 sample_targets sampled 2224 / 10000
2026-07-01 19:25:13,204 sample_targets sampled 2232 / 10000
2026-07-01 19:25:16,156 sample_targets sampled 2240 / 10000
2026-07-01 19:25:19,091 sample_targets sampled 2248 / 10000
2026-07-01 19:25:22,023 sample_targets sampled 2256 / 10000
2026-07-01 19:25:24,955 sample_targets sampled 2264 / 10000
2026-07-01 19:25:27,897 sample_targets sampled 2272 / 10000
2026-07-01 19:25:30,825 sample_targets sampled 2280 / 10000
2026-07-01 19:25:33,758 sample_targets sampled 2288 / 10000
2026-07-01 19:25:36,697 sample_targets sampled 2296 / 10000
2026-07-01 19:25:39,641 sample_targets sampled 2304 / 10000
2026-07-01 19:25:42,762 sample_targets sampled 2312 / 10000
2026-07-01 19:25:45,693 sample_targets sampled 2320 / 10000
2026-07-01 19:25:48,615 sample_targets sampled 2328 / 10000
2026-07-01 19:25:51,538 sample_targets sampled 2336 / 10000
2026-07-01 19:25:54,460 sample_targets sampled 2344 / 10000
2026-07-01 19:25:57,386 sample_targets sampled 2352 / 10000
2026-07-01 19:26:00,317 sample_targets sampled 2360 / 10000
2026-07-01 19:26:03,245 sample_targets sampled 2368 / 10000
2026-07-01 19:26:06,178 sample_targets sampled 2376 / 10000
